미세먼지농도
[검색조건]
지점명 : , 자료구분:일자료 , 기간 : 20160101 ~ 20181231

지점번호,지점명,일자,미세먼지농도(㎍/㎥)
108,서울,2016-01-08,33
115,울릉도독도(감),2016-01-08,12
116,관악산,2016-01-08,26
119,수원,2016-01-08,33
121,영월,2016-01-08,28
130,울진,2016-01-08,15
132,안면도(감),2016-01-08,20
135,추풍령,2016-01-08,20
136,안동,2016-01-08,23
140,군산,2016-01-08,24
143,대구,2016-01-08,
146,전주,2016-01-08,22
152,울산,2016-01-08,20
156,광주,2016-01-08,25
160,부산(레),2016-01-08,20
169,흑산도,2016-01-08,25
185,고산,2016-01-08,22
192,진주,2016-01-08,21
201,강화,2016-01-08,31
229,북격렬비도 *,2016-01-08,19
232,천안,2016-01-08,35
268,진도군,2016-01-08,24
273,문경,2016-01-08,21
501,연평도,2016-01-08,25
90,속초,2016-01-09,16
94,광덕산,2016-01-09,24
100,대관령,2016-01-09,21
101,춘천,2016-01-09,35
102,백령도,2016-01-09,25
108,서울,2016-01-09,39
115,울릉도독도(감),2016-01-09,14
116,관악산,2016-01-09,26
119,수원,2016-01-09,31
121,영월,2016-01-09,29
130,울진,2016-01-09,20
132,안면도(감),2016-01-09,22
135,추풍령,2016-01-09,23
136,안동,2016-01-09,32
140,군산,2016-01-09,26
143,대구,2016-01-09,28
146,전주,2016-01-09,22
152,울산,2016-01-09,20
156,광주,2016-01-09,26
160,부산(레),2016-01-09,22
169,흑산도,2016-01-09,25
185,고산,2016-01-09,26
192,진주,2016-01-09,24
201,강화,2016-01-09,34
229,북격렬비도 *,2016-01-09,21
232,천안,2016-01-09,41
268,진도군,2016-01-09,22
273,문경,2016-01-09,27
501,연평도,2016-01-09,23
90,속초,2016-01-10,19
94,광덕산,2016-01-10,24
100,대관령,2016-01-10,20
101,춘천,2016-01-10,29
102,백령도,2016-01-10,39
108,서울,2016-01-10,28
115,울릉도독도(감),2016-01-10,17
116,관악산,2016-01-10,28
119,수원,2016-01-10,31
121,영월,2016-01-10,24
130,울진,2016-01-10,27
132,안면도(감),2016-01-10,35
135,추풍령,2016-01-10,40
136,안동,2016-01-10,47
140,군산,2016-01-10,60
143,대구,2016-01-10,43
146,전주,2016-01-10,49
152,울산,2016-01-10,35
156,광주,2016-01-10,43
160,부산(레),2016-01-10,31
169,흑산도,2016-01-10,50
185,고산,2016-01-10,35
192,진주,2016-01-10,33
201,강화,2016-01-10,35
229,북격렬비도 *,2016-01-10,45
232,천안,2016-01-10,46
268,진도군,2016-01-10,44
273,문경,2016-01-10,38
501,연평도,2016-01-10,35
90,속초,2016-01-11,18
94,광덕산,2016-01-11,25
100,대관령,2016-01-11,16
101,춘천,2016-01-11,44
102,백령도,2016-01-11,22
108,서울,2016-01-11,41
115,울릉도독도(감),2016-01-11,15
116,관악산,2016-01-11,36
119,수원,2016-01-11,30
121,영월,2016-01-11,27
130,울진,2016-01-11,16
132,안면도(감),2016-01-11,23
135,추풍령,2016-01-11,26
136,안동,2016-01-11,31
140,군산,2016-01-11,29
143,대구,2016-01-11,28
146,전주,2016-01-11,27
152,울산,2016-01-11,23
156,광주,2016-01-11,31
160,부산(레),2016-01-11,24
169,흑산도,2016-01-11,26
185,고산,2016-01-11,30
192,진주,2016-01-11,32
201,강화,2016-01-11,36
229,북격렬비도 *,2016-01-11,20
232,천안,2016-01-11,44
268,진도군,2016-01-11,27
273,문경,2016-01-11,24
501,연평도,2016-01-11,29
90,속초,2016-01-12,20
94,광덕산,2016-01-12,23
100,대관령,2016-01-12,24
101,춘천,2016-01-12,43
102,백령도,2016-01-12,20
108,서울,2016-01-12,49
115,울릉도독도(감),2016-01-12,10
116,관악산,2016-01-12,30
119,수원,2016-01-12,36
121,영월,2016-01-12,32
130,울진,2016-01-12,18
132,안면도(감),2016-01-12,19
135,추풍령,2016-01-12,30
136,안동,2016-01-12,34
140,군산,2016-01-12,23
143,대구,2016-01-12,32
146,전주,2016-01-12,26
152,울산,2016-01-12,24
156,광주,2016-01-12,23
160,부산(레),2016-01-12,23
169,흑산도,2016-01-12,17
185,고산,2016-01-12,17
192,진주,2016-01-12,21
201,강화,2016-01-12,33
