"","social_date.date","social_date.blog","social_date.twitter","social_date.news","social_date.total"
"211","2016-07-29",1368,2183,47,3598
"212","2016-07-30",1038,2074,47,3159
"213","2016-07-31",1233,1800,24,3057
"214","2016-08-01",1480,2149,53,3682
"215","2016-08-02",1413,2634,93,4140
"216","2016-08-03",1460,2313,65,3838
"217","2016-08-04",1383,2286,44,3713
"218","2016-08-05",1332,2025,34,3391
"219","2016-08-06",1122,2127,49,3298
"220","2016-08-07",1213,1992,34,3239
"221","2016-08-08",1609,2150,127,3886
"222","2016-08-09",1375,2363,83,3821
"223","2016-08-10",1441,2515,182,4138
"224","2016-08-11",1297,2524,61,3882
"225","2016-08-12",1242,2442,61,3745
"226","2016-08-13",1045,2350,34,3429
"227","2016-08-14",1049,2229,39,3317
"228","2016-08-15",1281,2249,28,3558
"229","2016-08-16",1527,2057,64,3648
"230","2016-08-17",1387,2201,39,3627
"231","2016-08-18",1231,1865,34,3130
"232","2016-08-19",1366,1873,72,3311
"233","2016-08-20",1015,2129,93,3237
"234","2016-08-21",1219,2134,46,3399
"235","2016-08-22",1505,1979,64,3548
"236","2016-08-23",1381,1959,46,3386
"237","2016-08-24",1338,1926,72,3336
"238","2016-08-25",1233,1901,53,3187
"239","2016-08-26",1282,2030,147,3459
"240","2016-08-27",1131,2112,51,3294
"241","2016-08-28",1311,2825,70,4206
"242","2016-08-29",1638,1844,36,3518
"243","2016-08-30",1369,1788,59,3216
"244","2016-08-31",1356,1705,87,3148
"245","2016-09-01",1251,1924,72,3247
"246","2016-09-02",1307,1923,57,3287
"247","2016-09-03",1032,2106,27,3165
"248","2016-09-04",1315,2337,27,3679
"249","2016-09-05",1618,2160,110,3888
"250","2016-09-06",1271,2038,67,3376
"251","2016-09-07",1370,1867,173,3410
"252","2016-09-08",1290,1745,44,3079
"253","2016-09-09",1192,1874,128,3194
"254","2016-09-10",1069,1916,36,3021
"255","2016-09-11",1330,2031,43,3404
"256","2016-09-12",1516,1721,67,3304
"257","2016-09-13",1183,2172,78,3433
"258","2016-09-14",899,2365,63,3327
"259","2016-09-15",798,2322,22,3142
"260","2016-09-16",940,2586,21,3547
"261","2016-09-17",1161,2415,51,3627
"262","2016-09-18",1389,2391,59,3839
"263","2016-09-19",1536,1934,133,3603
"264","2016-09-20",1398,1995,64,3457
"265","2016-09-21",1372,1754,70,3196
"266","2016-09-22",1340,1685,49,3074
"267","2016-09-23",1245,1811,83,3139
"268","2016-09-24",1146,1966,72,3184
"269","2016-09-25",1326,2440,46,3812
"270","2016-09-26",1665,2250,165,4080
"271","2016-09-27",1466,1927,92,3485
"272","2016-09-28",1327,1841,64,3232
"273","2016-09-29",1284,2261,84,3629
"274","2016-09-30",1288,1905,119,3312
"275","2016-10-01",1066,2173,89,3328
"276","2016-10-02",1249,2401,35,3685
"277","2016-10-03",1505,2299,38,3842
"278","2016-10-04",1525,1992,96,3613
"279","2016-10-05",1407,1800,61,3268
"280","2016-10-06",1347,1700,69,3116
"281","2016-10-07",1289,1751,76,3116
"282","2016-10-08",1118,2002,50,3170
"283","2016-10-09",1307,2160,23,3490
"284","2016-10-10",1513,2446,41,4000
"285","2016-10-11",1307,1790,88,3185
"286","2016-10-12",1310,2080,83,3473
"287","2016-10-13",1305,2027,115,3447
"288","2016-10-14",1192,1984,90,3266
"289","2016-10-15",1055,2102,47,3204
"290","2016-10-16",1293,2010,31,3334
"291","2016-10-17",1504,1969,51,3524
"292","2016-10-18",1348,1759,158,3265
"293","2016-10-19",1287,1932,62,3281
"294","2016-10-20",1335,2378,152,3865
"295","2016-10-21",1230,2048,85,3363
"296","2016-10-22",1106,2092,37,3235
"297","2016-10-23",1301,2250,41,3592
"298","2016-10-24",1565,1910,49,3524
"299","2016-10-25",1402,1626,123,3151
"300","2016-10-26",1345,1800,81,3226
"301","2016-10-27",1302,1983,42,3327
"302","2016-10-28",1256,2021,41,3318
"303","2016-10-29",1042,2108,25,3175
"304","2016-10-30",1223,2068,17,3308
"305","2016-10-31",1606,1768,32,3406
"306","2016-11-01",1277,1744,64,3085
"307","2016-11-02",1279,1789,75,3143
"308","2016-11-03",1262,1987,38,3287
"309","2016-11-04",1170,1921,107,3198
"310","2016-11-05",1049,2176,64,3289
"311","2016-11-06",1278,6299,18,7595
"312","2016-11-07",1630,3504,45,5179
"313","2016-11-08",1378,2438,94,3910
"314","2016-11-09",1245,1574,91,2910
"315","2016-11-10",1235,1927,56,3218
"316","2016-11-11",1215,2049,56,3320
"317","2016-11-12",1007,1837,29,2873
"318","2016-11-13",1287,2320,23,3630
"319","2016-11-14",1689,1957,76,3722
"320","2016-11-15",1503,2001,90,3594
"321","2016-11-16",1368,1778,36,3182
"322","2016-11-17",1256,2034,49,3339
"323","2016-11-18",1410,2212,56,3678
"324","2016-11-19",1220,1910,52,3182
"325","2016-11-20",1279,2167,36,3482
"326","2016-11-21",1678,2404,62,4144
"327","2016-11-22",1505,2663,82,4250
"328","2016-11-23",1504,2432,50,3986
"329","2016-11-24",1400,2065,60,3525
"330","2016-11-25",1446,1935,49,3430
"331","2016-11-26",1302,2513,49,3864
"332","2016-11-27",1374,2248,27,3649
"333","2016-11-28",1823,1971,92,3886
"334","2016-11-29",1510,1905,51,3466
"335","2016-11-30",1636,2088,67,3791
"336","2016-12-01",1565,2005,108,3678
"337","2016-12-02",1496,1915,104,3515
"338","2016-12-03",1175,1872,36,3083
"339","2016-12-04",1409,2195,24,3628
"340","2016-12-05",1680,2282,60,4022
"341","2016-12-06",1500,1903,75,3478
"342","2016-12-07",1629,1937,43,3609
"343","2016-12-08",1577,2129,70,3776
"344","2016-12-09",1490,1581,74,3145
"345","2016-12-10",1273,1957,37,3267
"346","2016-12-11",1376,2229,49,3654
"347","2016-12-12",1728,2225,86,4039
"348","2016-12-13",1595,1977,72,3644
"349","2016-12-14",1546,2125,83,3754
"350","2016-12-15",1407,1877,81,3365
"351","2016-12-16",1312,1963,52,3327
"352","2016-12-17",1204,2086,56,3346
"353","2016-12-18",1278,2213,30,3521
"354","2016-12-19",1824,2047,48,3919
"355","2016-12-20",1659,2157,48,3864
"356","2016-12-21",1597,2134,32,3763
"357","2016-12-22",1507,2163,80,3750
"358","2016-12-23",1745,2298,85,4128
"359","2016-12-24",1489,3419,77,4985
"360","2016-12-25",1724,3506,50,5280
"361","2016-12-26",2224,1979,67,4270
"362","2016-12-27",2065,1724,61,3850
"363","2016-12-28",1799,2101,51,3951
"364","2016-12-29",1712,1766,104,3582
"365","2016-12-30",1717,1698,53,3468
"366","2016-12-31",1551,2010,91,3652
"367","2017-01-01",1485,1850,36,3371
"368","2017-01-02",2103,2078,3,4184
"369","2017-01-03",2013,2220,67,4300
"370","2017-01-04",1899,2209,91,4199
"371","2017-01-05",1977,1987,70,4034
"372","2017-01-06",1875,2136,81,4092
"373","2017-01-07",1583,2233,37,3853
"374","2017-01-08",1824,2271,23,4118
"375","2017-01-09",2046,2054,58,4158
"376","2017-01-10",2005,2394,43,4442
"377","2017-01-11",1879,2156,33,4068
"378","2017-01-12",1991,2067,63,4121
"379","2017-01-13",1766,2077,66,3909
"380","2017-01-14",1594,2018,37,3649
"381","2017-01-15",1822,2544,51,4417
"382","2017-01-16",2245,2190,44,4479
"383","2017-01-17",2063,2289,74,4426
"384","2017-01-18",1976,2418,44,4438
"385","2017-01-19",1829,2034,45,3908
"386","2017-01-20",1808,2155,48,4011
"387","2017-01-21",1442,2045,53,3540
"388","2017-01-22",1694,2129,18,3841
"389","2017-01-23",2164,2149,33,4346
"390","2017-01-24",1801,2161,21,3983
"391","2017-01-25",1610,2101,34,3745
"392","2017-01-26",1271,2111,23,3405
"393","2017-01-27",1040,2151,15,3206
"394","2017-01-28",945,2108,44,3097
"395","2017-01-29",1058,2316,32,3406
"396","2017-01-30",1216,2609,30,3855
"397","2017-01-31",1801,2501,37,4339
"398","2017-02-01",1892,2233,56,4181
"399","2017-02-02",1833,2161,77,4071
"400","2017-02-03",1738,2250,73,4061
"401","2017-02-04",1427,2358,24,3809
"402","2017-02-05",1599,2102,24,3725
"403","2017-02-06",1903,2036,69,4008
"404","2017-02-07",1684,1950,74,3708
"405","2017-02-08",1627,1754,92,3473
"406","2017-02-09",1624,1768,73,3465
"407","2017-02-10",1578,2143,60,3781
"408","2017-02-11",1228,2312,43,3583
"409","2017-02-12",1451,2268,41,3760
"410","2017-02-13",1801,2390,50,4241
"411","2017-02-14",1827,2752,127,4706
"412","2017-02-15",1858,2303,188,4349
"413","2017-02-16",1693,2240,155,4088
"414","2017-02-17",1475,2429,89,3993
"415","2017-02-18",1246,2591,67,3904
"416","2017-02-19",1465,2513,39,4017
"417","2017-02-20",1853,2337,74,4264
"418","2017-02-21",1716,2343,64,4123
"419","2017-02-22",1569,2050,63,3682
"420","2017-02-23",1642,2098,91,3831
"421","2017-02-24",1605,2024,76,3705
"422","2017-02-25",1390,2214,79,3683
"423","2017-02-26",1454,2181,53,3688
"424","2017-02-27",1964,2083,91,4138
"425","2017-02-28",1480,2255,79,3814
"426","2017-03-01",1471,2421,50,3942
"427","2017-03-02",1511,2195,131,3837
"428","2017-03-03",1407,1928,65,3400
"429","2017-03-04",1359,2415,66,3840
"430","2017-03-05",1444,2464,32,3940
"431","2017-03-06",1735,1871,92,3698
"432","2017-03-07",1515,1807,85,3407
"433","2017-03-08",1408,1896,190,3494
"434","2017-03-09",1419,1728,123,3270
"435","2017-03-10",1319,1159,65,2543
"436","2017-03-11",2819,2078,174,5071
"437","2017-03-12",1571,2094,60,3725
"438","2017-03-13",1707,1994,48,3749
"439","2017-03-14",1579,2003,73,3655
"440","2017-03-15",1483,1874,60,3417
"441","2017-03-16",1334,1827,76,3237
"442","2017-03-17",1350,1892,63,3305
"443","2017-03-18",1155,2312,63,3530
"444","2017-03-19",1513,2363,49,3925
"445","2017-03-20",1814,1883,89,3786
"446","2017-03-21",1577,1881,124,3582
"447","2017-03-22",1514,1853,64,3431
"448","2017-03-23",1431,1786,46,3263
"449","2017-03-24",1381,2010,73,3464
"450","2017-03-25",1207,2203,41,3451
"451","2017-03-26",1403,2358,39,3800
"452","2017-03-27",1708,1979,129,3816
"453","2017-03-28",1483,1817,82,3382
"454","2017-03-29",1442,1682,135,3259
"455","2017-03-30",1343,1870,88,3301
"456","2017-03-31",1380,1934,49,3363
"457","2017-04-01",1141,2392,80,3613
"458","2017-04-02",1460,2485,74,4019
"459","2017-04-03",1760,2143,50,3953
"460","2017-04-04",1586,1951,157,3694
"461","2017-04-05",1517,1995,120,3632
"462","2017-04-06",1503,1935,84,3522
"463","2017-04-07",1401,2259,45,3705
"464","2017-04-08",1248,2385,45,3678
"465","2017-04-09",1529,2446,85,4060
"466","2017-04-10",1807,2410,89,4306
"467","2017-04-11",1706,2020,100,3826
"468","2017-04-12",1574,2000,65,3639
"469","2017-04-13",1522,2067,107,3696
"470","2017-04-14",1347,1957,98,3402
"471","2017-04-15",1209,2402,73,3684
"472","2017-04-16",1401,2446,31,3878
"473","2017-04-17",1786,2080,59,3925
"474","2017-04-18",1543,1878,108,3529
"475","2017-04-19",1409,1849,124,3382
"476","2017-04-20",1277,1779,77,3133
"477","2017-04-21",1293,1858,102,3253
"478","2017-04-22",1104,2053,63,3220
"479","2017-04-23",1332,2387,37,3756
"480","2017-04-24",1794,2027,135,3956
"481","2017-04-25",1484,1903,124,3511
"482","2017-04-26",1435,1891,113,3439
"483","2017-04-27",1418,2087,103,3608
"484","2017-04-28",1354,1940,76,3370
"485","2017-04-29",1166,2119,41,3326
"486","2017-04-30",1306,2481,38,3825
"487","2017-05-01",1562,2313,37,3912
"488","2017-05-02",1417,2574,116,4107
"489","2017-05-03",1339,2513,80,3932
"490","2017-05-04",1627,2345,125,4097
"491","2017-05-05",1237,2231,45,3513
"492","2017-05-06",1233,1944,78,3255
"493","2017-05-07",1261,1960,51,3272
"494","2017-05-08",1501,1843,46,3390
"495","2017-05-09",1398,1680,59,3137
"496","2017-05-10",1403,1817,83,3303
"497","2017-05-11",1229,1697,66,2992
"498","2017-05-12",1196,1747,90,3033
"499","2017-05-13",1852,1783,28,3663
"500","2017-05-14",1310,2271,33,3614
"501","2017-05-15",1649,1833,85,3567
"502","2017-05-16",1437,1896,112,3445
"503","2017-05-17",1343,2005,92,3440
"504","2017-05-18",1157,1831,67,3055
"505","2017-05-19",1265,1788,66,3119
"506","2017-05-20",1071,1917,31,3019
"507","2017-05-21",1214,2285,37,3536
"508","2017-05-22",1530,1716,47,3293
"509","2017-05-23",1340,1831,45,3216
"510","2017-05-24",1283,1948,133,3364
"511","2017-05-25",1265,1769,65,3099
"512","2017-05-26",1130,1580,54,2764
"513","2017-05-27",972,1511,26,2509
"514","2017-05-28",1271,2513,35,3819
"515","2017-05-29",1520,2272,61,3853
"516","2017-05-30",1306,1978,89,3373
"517","2017-05-31",1282,1844,47,3173
"518","2017-06-01",1168,2144,49,3361
"519","2017-06-02",1207,1920,60,3187
"520","2017-06-03",970,1851,27,2848
"521","2017-06-04",1090,1935,33,3058
"522","2017-06-05",1449,1964,46,3459
"523","2017-06-06",1285,2129,57,3471
"524","2017-06-07",1350,2376,129,3855
"525","2017-06-08",1268,1807,49,3124
"526","2017-06-09",1214,1869,69,3152
"527","2017-06-10",1108,2299,14,3421
"528","2017-06-11",1250,2791,52,4093
"529","2017-06-12",1518,2321,73,3912
"530","2017-06-13",1340,2553,60,3953
